clip_id,word,audio_arrival_sec,commit_time_sec,word_latency_sec
clip_001,il-ġewwa,22.0,12.283,0.0
clip_001,li,22.0,12.283,0.0
clip_001,kienet,22.0,12.283,0.0
clip_001,ġabret,24.0,13.595,0.0
clip_001,magħha,24.0,13.595,0.0
clip_001,minn,24.0,13.595,0.0
clip_001,ġewwa,24.0,13.595,0.0
clip_001,fejn,24.0,13.595,0.0
clip_001,ħarġet,24.0,13.595,0.0
clip_001,ċkejken,26.0,14.619,0.0
clip_001,dan,26.0,14.619,0.0
clip_001,iż-żejt,26.0,14.619,0.0
clip_001,jaruna,28.0,15.824,0.0
clip_001,jfejjaq,28.0,15.824,0.0
clip_001,il-ġrieħi,28.0,15.824,0.0
clip_001,li,30.0,16.746,0.0
clip_001,għandekkom,30.0,16.746,0.0
clip_001,ejja,30.0,16.746,0.0
clip_001,kompli,32.0,17.82,0.0
clip_001,juri,32.0,17.82,0.0
clip_001,xi,32.0,17.82,0.0
clip_001,parti,32.0,17.82,0.0
clip_001,tal-parti,32.0,17.82,0.0
clip_001,tiek,34.0,18.547,0.0
clip_001,ġara,36.0,19.436,0.0
clip_001,l-istess,36.0,19.436,0.0
clip_001,daħal,38.0,20.371,0.0
clip_001,lura,38.0,20.371,0.0
clip_001,d-dar,38.0,20.371,0.0
clip_001,ma,40.0,21.209,0.0
clip_001,jagħmel,40.0,21.209,0.0
clip_001,ħoss,40.0,21.209,0.0
clip_001,ma,42.0,22.424,0.0
clip_001,qametx,42.0,22.424,0.0
clip_001,fil-frattemp,42.0,22.424,0.0
clip_001,u,42.0,22.424,0.0
clip_001,isfel,42.818,23.146,0.0
clip_002,imma,2.0,1.441,0.0
clip_002,kellu,2.0,1.441,0.0
clip_002,joqogħdu,2.0,1.441,0.0
clip_002,dawk,2.0,1.441,0.0
clip_002,it-tiri,2.0,1.441,0.0
clip_002,tal-ka,2.0,1.441,0.0
clip_002,b'sinjal,4.0,2.503,0.0
clip_002,ta',4.0,2.503,0.0
clip_002,sparati,4.0,2.503,0.0
clip_002,il-franċiżi,6.0,3.644,0.0
clip_002,jħossu,6.0,3.644,0.0
clip_002,bħal,6.0,3.644,0.0
clip_002,li,8.0,4.61,0.0
clip_002,sabtu,8.0,4.61,0.0
clip_002,fuq,8.0,4.61,0.0
clip_002,qalbu,8.0,4.61,0.0
clip_002,marija,10.0,5.679,0.0
clip_002,ġiet,10.0,5.679,0.0
clip_002,għalija,10.0,5.679,0.0
clip_002,bil-karozza,10.0,5.679,0.0
clip_002,u,12.0,6.638,0.0
clip_002,ħadtni,12.0,6.638,0.0
clip_002,narawh,12.0,6.638,0.0
clip_002,joseph,14.0,7.729,0.0
clip_002,ma,14.0,7.729,0.0
clip_002,naqqasx,14.0,7.729,0.0
clip_002,l-isem,14.0,7.729,0.0
clip_002,ukoll,16.0,8.653,0.0
clip_002,il-miskatana,16.0,8.653,0.0
clip_002,iddeskrivi,18.0,9.867,0.0
clip_002,l-mod,18.0,9.867,0.0
clip_002,kif,18.0,9.867,0.0
clip_002,tilbes,18.0,9.867,0.0
clip_002,tkellem,20.0,10.975,0.0
clip_002,u,20.0,10.975,0.0
clip_002,kif,20.0,10.975,0.0
clip_002,huwa,20.0,10.975,0.0
clip_002,fissat,20.0,10.975,0.0
clip_002,fuqha,20.0,10.975,0.0
clip_002,mħabbat,20.925,11.829,0.0
clip_003,l-iżjed,2.0,1.142,0.0
clip_003,meta,2.0,1.142,0.0
clip_003,kien,2.0,1.142,0.0
clip_003,jaf,2.0,1.142,0.0
clip_003,sewwa,2.0,1.142,0.0
clip_003,min,2.0,1.142,0.0
clip_003,huwa,4.0,2.344,0.0
clip_003,u,4.0,2.344,0.0
clip_003,xi,4.0,2.344,0.0
clip_003,ġara,4.0,2.344,0.0
clip_003,u,4.0,2.344,0.0
clip_003,dan,4.0,2.344,0.0
clip_003,ħabbu,4.0,2.344,0.0
clip_003,kien,6.0,3.398,0.0
clip_003,iżomm,6.0,3.398,0.0
clip_003,bħallikieku,6.0,3.398,0.0
clip_003,ħuh,6.0,3.398,0.0
clip_003,appuntu,8.0,4.545,0.0
clip_003,surmast,8.0,4.545,0.0
clip_003,kompla,8.0,4.545,0.0
clip_003,jippetita,8.0,4.545,0.0
clip_003,spiss,10.0,5.317,0.0
clip_003,qasar,10.0,5.317,0.0
clip_003,aħna,12.0,6.213,0.0
clip_003,dejjem,12.0,6.213,0.0
clip_003,irġiel,12.0,6.213,0.0
clip_003,u,12.0,6.213,0.0
clip_003,n-nar,14.0,7.475,0.0
clip_003,fil-waqt,14.0,7.475,0.0
clip_003,li,14.0,7.475,0.0
clip_003,r-raġel,14.0,7.475,0.0
clip_003,pippa,16.0,9.211,0.0
clip_003,fil-but,16.0,9.211,0.0
clip_003,u,16.0,9.211,0.0
clip_003,qabad,16.0,9.211,0.0
clip_003,il-ħabel,16.0,9.211,0.0
clip_003,tal,16.0,9.211,0.0
clip_003,kaptru,18.0,10.217,0.0
clip_003,f'fidu,18.0,10.217,0.0
clip_003,u,20.0,11.327,0.0
clip_003,jistrieħu,20.0,11.327,0.0
clip_003,hemmhekk,20.0,11.327,0.0
clip_003,issa,22.0,12.354,0.0
clip_003,sew,22.0,12.354,0.0
clip_003,qalbejn,22.0,12.354,0.0
clip_003,u,22.0,12.354,0.0
clip_003,bejn,22.0,12.354,0.0
clip_003,ruħu,24.0,13.514,0.0
clip_003,f'ram,24.0,13.514,0.0
clip_003,u,24.0,13.514,0.0
clip_003,dest,24.0,13.514,0.0
clip_003,irrid,26.0,15.039,0.0
clip_003,immur,26.0,15.039,0.0
clip_003,imiss,26.0,15.039,0.0
clip_003,qalilha,26.0,15.039,0.0
clip_003,r-robert,26.0,15.039,0.0
clip_003,ċerta,28.0,15.993,0.0
clip_003,urġenza,28.0,15.993,0.0
clip_003,minħabba,28.0,15.993,0.0
clip_003,li,28.0,15.993,0.0
clip_003,kien,28.0,15.993,0.0
clip_003,jaf,28.0,15.993,0.0
clip_003,li,30.0,17.281,0.0
clip_003,jrid,30.0,17.281,0.0
clip_003,jiftaħ,30.0,17.281,0.0
clip_003,il-buttuni,30.0,17.281,0.0
clip_003,tal-qima,30.0,17.281,0.0
clip_003,malajr,32.0,18.169,0.0
clip_003,għax,32.0,18.169,0.0
clip_003,inkella,32.0,18.169,0.0
clip_003,kienet,32.0,18.169,0.0
clip_003,se,32.0,18.169,0.0
clip_003,tkun,32.0,18.169,0.0
clip_003,tixxakkja,34.0,19.139,0.0
clip_003,meta,34.0,19.139,0.0
clip_003,jsir,34.0,19.139,0.0
clip_003,majjal,34.0,19.139,0.0
clip_003,jien,36.0,20.057,0.0
clip_003,kont,36.0,20.057,0.0
clip_003,il-i,36.0,20.057,0.0
clip_003,xi,36.0,20.057,0.0
clip_003,tliet,36.0,20.057,0.0
clip_003,snin,36.0,20.057,0.0
clip_003,nidħol,38.0,21.06,0.0
clip_003,għal,38.0,21.06,0.0
clip_003,festivi,38.0,21.06,0.0
clip_003,għax,38.0,21.06,0.0
clip_003,kont,38.0,21.06,0.0
clip_003,inħoss,38.0,21.06,0.0
clip_003,l-impenn,40.0,22.117,0.0
clip_003,tiegħi,40.0,22.117,0.0
clip_003,fil-lukandi,40.0,22.117,0.0
clip_003,kienu,40.0,22.117,0.0
clip_003,kien,42.0,22.78,0.0
clip_003,jittratta,42.0,22.78,0.0
clip_003,dwar,44.0,23.619,0.0
clip_003,iz-zrieħ,44.0,23.619,0.0
clip_003,hemm,46.0,24.902,0.0
clip_003,bzonn,46.0,24.902,0.0
clip_003,ta',46.0,24.902,0.0
clip_003,aktar,46.0,24.902,0.0
clip_003,sikurita,46.0,24.902,0.0
clip_003,f'paċi,46.0,24.902,0.0
clip_003,u,48.0,25.727,0.0
clip_003,l-interessant,48.0,25.727,0.0
clip_003,nagħtih,50.0,26.599,0.0
clip_003,importanza,50.0,26.599,0.0
clip_003,u,50.0,26.599,0.0
clip_003,nixtieq,50.0,26.599,0.0
clip_003,nista',51.711,27.438,0.0
clip_003,ngħaddi,51.711,27.438,0.0
clip_003,mingħajrha,51.711,27.438,0.0
clip_004,u,2.0,1.002,0.0
clip_004,dak,2.0,1.002,0.0
clip_004,li,2.0,1.002,0.0
clip_004,għandhom,2.0,1.002,0.0
clip_004,jagħmlu,2.0,1.002,0.0
clip_004,l-għada,2.0,1.002,0.0
clip_004,tant,4.0,1.641,0.0
clip_004,importanti,4.0,1.641,0.0
clip_004,min,6.0,2.714,0.0
clip_004,jara,6.0,2.714,0.0
clip_004,l-ġwienaħ,6.0,2.714,0.0
clip_004,min,6.0,2.714,0.0
clip_004,jara,6.0,2.714,0.0
clip_004,min,8.0,3.904,0.0
clip_004,jiftaħ,8.0,3.904,0.0
clip_004,il-pizzijiet,8.0,3.904,0.0
clip_004,u,8.0,3.904,0.0
clip_004,jsibhom,8.0,3.904,0.0
clip_004,li,10.0,4.842,0.0
clip_004,hija,10.0,4.842,0.0
clip_004,zzanzun,10.0,4.842,0.0
clip_004,mejjet,10.0,4.842,0.0
clip_004,nixtieq,12.0,6.253,0.0
clip_004,ngħidlek,12.0,6.253,0.0
clip_004,li,12.0,6.253,0.0
clip_004,issa,12.0,6.253,0.0
clip_004,nista',12.0,6.253,0.0
clip_004,anke,12.0,6.253,0.0
clip_004,nara,12.0,6.253,0.0
clip_004,ħasbu,14.0,7.282,0.0
clip_004,li,14.0,7.282,0.0
clip_004,kien,14.0,7.282,0.0
clip_004,interessat,16.0,8.361,0.0
clip_004,fir-riċerka,16.0,8.361,0.0
clip_004,li,16.0,8.361,0.0
clip_004,kien,16.0,8.361,0.0
clip_004,għamel,16.0,8.361,0.0
clip_004,u,18.0,9.421,0.0
clip_004,dwar,18.0,9.421,0.0
clip_004,il-proġerija,18.0,9.421,0.0
clip_004,segwi,20.0,10.763,0.0
clip_004,lura,20.0,10.763,0.0
clip_004,l-isfel,20.0,10.763,0.0
clip_004,u,20.0,10.763,0.0
clip_004,baqa',20.0,10.763,0.0
clip_004,jkompli,20.0,10.763,0.0
clip_004,u,22.0,12.012,0.0
clip_004,jiena,22.0,12.012,0.0
clip_004,ħieles,22.0,12.012,0.0
clip_004,lejn,24.0,13.505,0.0
clip_004,il-grawnd,24.0,13.505,0.0
clip_004,tal-futbol,24.0,13.505,0.0
clip_004,imbagħad,26.0,14.819,0.0
clip_004,ġammri,26.0,14.819,0.0
clip_004,wegħda,26.0,14.819,0.0
clip_004,l-i,26.0,14.819,0.0
clip_004,kellu,26.0,14.819,0.0
clip_004,il-ħġieġ,28.0,15.822,0.0
clip_004,miksur,28.0,15.822,0.0
clip_004,kollu,28.0,15.822,0.0
clip_004,tagħha,30.0,16.855,0.0
clip_004,bdiet,30.0,16.855,0.0
clip_004,tibred,30.0,16.855,0.0
clip_004,bil-mod,30.0,16.855,0.0
clip_004,jien,32.0,17.774,0.0
clip_004,niġi,32.0,17.774,0.0
clip_004,l-aktar,32.0,17.774,0.0
clip_004,imma,34.0,18.763,0.0
clip_004,aktar,34.0,18.763,0.0
clip_004,tard,34.0,18.763,0.0
clip_004,bdew,34.0,18.763,0.0
clip_004,jagħtuha,34.0,18.763,0.0
clip_004,il-porga,36.0,20.248,0.0
clip_004,f'forma,36.0,20.248,0.0
clip_004,taċ-ċikkulata,36.0,20.248,0.0
clip_004,li,36.0,20.248,0.0
clip_004,konna,37.826,21.43,0.0
clip_004,nixtru,37.826,21.43,0.0
clip_004,minn,37.826,21.43,0.0
clip_004,l-ispizzjar,37.826,21.43,0.0
clip_005,u,2.0,0.871,0.0
clip_005,mar-raġel,2.0,0.871,0.0
clip_005,martu,4.0,1.906,0.0
clip_005,ma,4.0,1.906,0.0
clip_005,jridx,4.0,1.906,0.0
clip_005,jaf,4.0,1.906,0.0
clip_005,xejn,4.0,1.906,0.0
clip_005,donna,6.0,3.01,0.0
clip_005,wisq,6.0,3.01,0.0
clip_005,għall-mewt,6.0,3.01,0.0
clip_005,fuqu,6.0,3.01,0.0
clip_005,wara,8.0,3.896,0.0
clip_005,kollox,8.0,3.896,0.0
clip_005,l-istorja,8.0,3.896,0.0
clip_005,dwar,10.0,5.099,0.0
clip_005,ħuh,10.0,5.099,0.0
clip_005,gunter,10.0,5.099,0.0
clip_005,kien,10.0,5.099,0.0
clip_005,x-xokk,10.0,5.099,0.0
clip_005,naħseb,12.0,6.649,0.0
clip_005,li,12.0,6.649,0.0
clip_005,l-għalqa,12.0,6.649,0.0
clip_005,ta',12.0,6.649,0.0
clip_005,dan,12.0,6.649,0.0
clip_005,il-ġung,12.0,6.649,0.0
clip_005,barklu,14.0,7.402,0.0
clip_005,u,16.0,8.452,0.0
clip_005,kienet,16.0,8.452,0.0
clip_005,qalet,16.0,8.452,0.0
clip_005,li,16.0,8.452,0.0
clip_005,r-reliġjon,16.0,8.452,0.0
clip_005,kultant,18.0,9.546,0.0
clip_005,għandha,18.0,9.546,0.0
clip_005,ħabta,18.0,9.546,0.0
clip_005,tiftaħ,18.0,9.546,0.0
clip_005,u,20.0,10.423,0.0
clip_005,jgħaqqad,20.0,10.423,0.0
clip_005,marġinina,22.0,11.398,0.0
clip_005,stork,22.0,11.398,0.0
clip_005,butir,24.0,12.363,0.0
clip_005,ta',24.0,12.363,0.0
clip_005,papra,24.0,12.363,0.0
clip_005,kif,26.0,13.529,0.0
clip_005,kienet,26.0,13.529,0.0
clip_005,issejħet,26.0,13.529,0.0
clip_005,loui,26.0,13.529,0.0
clip_005,u,28.0,14.653,0.0
clip_005,nieħduha,28.0,14.653,0.0
clip_005,mal-kafè,28.0,14.653,0.0
clip_005,u,30.0,15.889,0.0
clip_005,darba,30.0,15.889,0.0
clip_005,ġiljan,30.0,15.889,0.0
clip_005,qal,30.0,15.889,0.0
clip_005,li,30.0,15.889,0.0
clip_005,kien,30.0,15.889,0.0
clip_005,hemm,30.0,15.889,0.0
clip_005,mara,30.0,15.889,0.0
clip_005,mhux,32.0,16.932,0.0
clip_005,malta,32.0,16.932,0.0
clip_005,ta',32.0,16.932,0.0
clip_005,madonna,32.0,16.932,0.0
clip_005,malta,32.0,16.932,0.0
clip_005,lura,34.0,17.976,0.0
clip_005,għadna,34.0,17.976,0.0
clip_005,bħallikieku,34.0,17.976,0.0
clip_005,qed,34.0,17.976,0.0
clip_005,taħt,36.0,18.929,0.0
clip_005,xi,36.0,18.929,0.0
clip_005,ma,36.0,18.929,0.0
clip_005,nafx,36.0,18.929,0.0
clip_005,min,36.0,18.929,0.0
clip_005,hi,38.0,20.116,0.0
clip_005,ma,38.0,20.116,0.0
clip_005,nqabdux,38.0,20.116,0.0
clip_005,bħal,38.0,20.116,0.0
clip_005,żewġ,38.0,20.116,0.0
clip_005,u,40.0,21.205,0.0
clip_005,ġrieħi,40.0,21.205,0.0
clip_005,fil-nassa,40.0,21.205,0.0
clip_005,ħares,42.0,22.369,0.0
clip_005,u,42.0,22.369,0.0
clip_005,ħarsa,42.0,22.369,0.0
clip_005,madwarhom,42.0,22.369,0.0
clip_005,u,42.0,22.369,0.0
clip_005,spalla,42.0,22.369,0.0
clip_005,ma',44.0,23.663,0.0
clip_005,spalla,44.0,23.663,0.0
clip_005,baqgħu,44.0,23.663,0.0
clip_005,sejrin,44.0,23.663,0.0
clip_005,lejn,44.0,23.663,0.0
clip_005,it-triq,44.0,23.663,0.0
clip_005,tal-ħażna,46.0,24.477,0.0
clip_005,kien,48.0,25.62,0.0
clip_005,biss,48.0,25.62,0.0
clip_005,meta,48.0,25.62,0.0
clip_005,ċeda,48.0,25.62,0.0
clip_005,li,48.0,25.62,0.0
clip_005,bdiet,48.0,25.62,0.0
clip_005,tassew,48.0,25.62,0.0
clip_005,taħdem,50.0,26.843,0.0
clip_005,l-azzjoni,50.0,26.843,0.0
clip_005,ta',50.0,26.843,0.0
clip_005,vitana,50.0,26.843,0.0
clip_005,nova,50.0,26.843,0.0
clip_005,mħabbra,50.26,27.737,0.0
clip_006,moħni,2.0,0.983,0.0
clip_006,biex,2.0,0.983,0.0
clip_006,ninħeba,2.0,0.983,0.0
clip_006,wiċċu,4.0,1.934,0.0
clip_006,aħmar,4.0,1.934,0.0
clip_006,il-lejl,6.0,3.423,0.0
clip_006,it-tajjeb,6.0,3.423,0.0
clip_006,ħaninini,6.0,3.423,0.0
clip_006,ħadtli,8.0,4.827,0.0
clip_006,bi,8.0,4.827,0.0
clip_006,t-tespisa,8.0,4.827,0.0
clip_006,għal,10.0,6.14,0.0
clip_006,mill-inqas,10.0,6.14,0.0
clip_006,ħames,10.0,6.14,0.0
clip_006,minuti,10.0,6.14,0.0
clip_006,baqa',10.0,6.14,0.0
clip_006,fil-karozza,12.0,7.215,0.0
clip_006,going,12.0,7.215,0.0
clip_006,nowhere,12.0,7.215,0.0
clip_006,u,14.0,8.176,0.0
clip_006,l-ħbieb,14.0,8.176,0.0
clip_006,u,16.0,9.264,0.0
clip_006,kliem,16.0,9.264,0.0
clip_006,ommu,16.0,9.264,0.0
clip_006,hekk,16.0,9.264,0.0
clip_006,kif,16.0,9.264,0.0
clip_006,reġgħet,16.0,9.264,0.0
clip_006,li,18.0,10.416,0.0
clip_006,tara,18.0,10.416,0.0
clip_006,fuq,18.0,10.416,0.0
clip_006,il-biċċa,18.0,10.416,0.0
clip_006,xogħol,18.0,10.416,0.0
clip_006,li,18.0,10.416,0.0
clip_006,kienet,18.0,10.416,0.0
clip_006,qed,18.0,10.416,0.0
clip_006,in-nanna,20.0,11.309,0.0
clip_006,mir,20.0,11.309,0.0
clip_006,li,22.0,12.669,0.0
clip_006,għandha,22.0,12.669,0.0
clip_006,tagħmel,22.0,12.669,0.0
clip_006,din,22.0,12.669,0.0
clip_006,id-darba,22.0,12.669,0.0
clip_006,biex,22.0,12.669,0.0
clip_006,tfejjaq,22.0,12.669,0.0
clip_006,kompla,24.0,13.478,0.0
clip_006,miegħu,24.0,13.478,0.0
clip_006,xogħol,24.0,13.478,0.0
clip_006,l-istejjer,26.0,14.564,0.0
clip_006,kollha,26.0,14.564,0.0
clip_006,xi,26.0,14.564,0.0
clip_006,ftit,26.0,14.564,0.0
clip_006,kellhom,28.0,15.557,0.0
clip_006,togħma,28.0,15.557,0.0
clip_006,sesswali,28.0,15.557,0.0
clip_006,u,30.0,16.734,0.0
clip_006,l-lejl,30.0,16.734,0.0
clip_006,kollu,30.0,16.734,0.0
clip_006,f'kumpanija,30.0,16.734,0.0
clip_006,ħija,32.0,17.638,0.0
clip_006,tiegħu,32.0,17.638,0.0
clip_006,issa,34.0,18.804,0.0
clip_006,stajt,34.0,18.804,0.0
clip_006,tħoss,34.0,18.804,0.0
clip_006,madwarek,34.0,18.804,0.0
clip_006,hekk,36.0,19.729,0.0
clip_006,għalax,36.0,19.729,0.0
clip_006,ħon,36.0,19.729,0.0
clip_006,fhimt,38.0,20.682,0.0
clip_006,mill-ewwel,38.0,20.682,0.0
clip_006,ma,40.0,21.814,0.0
clip_006,rajtux,40.0,21.814,0.0
clip_006,staqsejtha,40.0,21.814,0.0
clip_006,li,42.0,22.588,0.0
clip_006,ssek,42.0,22.588,0.0
clip_006,pjan,44.0,23.606,0.0
clip_006,li,44.0,23.606,0.0
clip_006,dawn,44.0,23.606,0.0
clip_006,taf,44.0,23.606,0.0
clip_006,ma,44.0,23.606,0.0
clip_006,tmurx,44.0,23.606,0.0
clip_006,imma,46.0,24.435,0.0
clip_006,tkompli,46.0,24.435,0.0
clip_006,xorta,46.0,24.435,0.0
clip_006,waħda,46.0,24.435,0.0
clip_006,u,46.289,25.097,0.0
clip_007,ħabib,2.0,1.22,0.0
clip_007,wara,2.0,1.22,0.0
clip_007,kolonna,2.0,1.22,0.0
clip_007,u,2.0,1.22,0.0
clip_007,mal-iżgħar,2.0,1.22,0.0
clip_007,u,4.0,2.434,0.0
clip_007,x-xagħar,4.0,2.434,0.0
clip_007,kien,4.0,2.434,0.0
clip_007,ħareġ,4.0,2.434,0.0
clip_007,il-jum,6.0,3.872,0.0
clip_007,feroċi,6.0,3.872,0.0
clip_007,jgħajjat,6.0,3.872,0.0
clip_007,u,6.0,3.872,0.0
clip_007,jfajjar,6.0,3.872,0.0
clip_007,bl-imħadd,8.0,4.995,0.0
clip_007,fuq,8.0,4.995,0.0
clip_007,rashom,8.0,4.995,0.0
clip_007,kemm,8.0,4.995,0.0
clip_007,kien,10.0,5.774,0.0
clip_007,saħħa,10.0,5.774,0.0
clip_007,ħaġa,12.0,6.806,0.0
clip_007,marbuta,12.0,6.806,0.0
clip_007,ma',12.0,6.806,0.0
clip_007,xokk,12.0,6.806,0.0
clip_007,oħint,14.0,7.61,0.0
clip_008,jien,2.0,0.961,0.0
clip_008,sejjer,2.0,0.961,0.0
clip_008,f'kamarti,2.0,0.961,0.0
clip_008,qed,4.0,1.907,0.0
clip_008,jistennewha,4.0,1.907,0.0
clip_008,barra,4.0,1.907,0.0
clip_008,allura,6.0,2.907,0.0
clip_008,meta,6.0,2.907,0.0
clip_008,se,6.0,2.907,0.0
clip_008,nibdew,6.0,2.907,0.0
clip_008,bidu,6.0,2.907,0.0
clip_008,nikteb,8.0,3.912,0.0
clip_008,l-artiklu,8.0,3.912,0.0
clip_008,kien,8.0,3.912,0.0
clip_008,qed,10.0,4.72,0.0
clip_008,tistaqsi,10.0,4.72,0.0
clip_008,dennis,10.0,4.72,0.0
clip_008,wara,12.0,6.17,0.0
clip_008,l-i,12.0,6.17,0.0
clip_008,ħaslithom,12.0,6.17,0.0
clip_008,ħawla,12.0,6.17,0.0
clip_008,bl-ilma,12.0,6.17,0.0
clip_008,fil-ħabel,14.0,7.059,0.0
clip_008,kienet,14.0,7.059,0.0
clip_008,likom,16.0,8.093,0.0
clip_008,kull,16.0,8.093,0.0
clip_008,ġrieħi,16.0,8.093,0.0
clip_008,u,16.0,8.093,0.0
clip_008,kull,18.0,9.402,0.0
clip_008,ġidma,18.0,9.402,0.0
clip_008,bl-żejt,18.0,9.402,0.0
clip_008,taż-żaruna,18.0,9.402,0.0
clip_008,u,20.0,10.39,0.0
clip_008,l-ispirazzjoni,20.0,10.39,0.0
clip_008,tant,22.0,11.535,0.0
clip_008,tkun,22.0,11.535,0.0
clip_008,qawwija,22.0,11.535,0.0
clip_008,li,22.0,11.535,0.0
clip_008,ma,22.0,11.535,0.0
clip_008,nkunx,22.0,11.535,0.0
clip_008,nista',22.0,11.535,0.0
clip_008,irreżistiha,24.0,12.441,0.0
clip_008,aktar,24.0,12.441,0.0
clip_008,kienet,26.0,13.839,0.0
clip_008,qed,26.0,13.839,0.0
clip_008,tittajjar,26.0,13.839,0.0
